"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 20 06:27:10 GMT 2024","Sat Apr 20 06:27:11 GMT 2024","809","","API Tests","Section API Tests","GetTest","GetSectionTest","GetSectionTest",""
"failed","Sat Apr 20 06:27:11 GMT 2024","Sat Apr 20 06:27:11 GMT 2024","247","","GUI Tests","Successful Delete Section Test","SectionTest","DeleteSectionTest","DeleteSectionTest",""
"failed","Sat Apr 20 06:27:10 GMT 2024","Sat Apr 20 06:27:11 GMT 2024","1341","","GUI Tests","Successful PopUp Message Test","SectionTest","PopUpMessageTest","PopUpMessageTest",""
"failed","Sat Apr 20 06:27:11 GMT 2024","Sat Apr 20 06:27:11 GMT 2024","253","","GUI Tests","Successful Limit Value Test","SectionTest","LimitValueTest","LimitValueTest",""
"failed","Sat Apr 20 06:27:11 GMT 2024","Sat Apr 20 06:27:11 GMT 2024","274","","","","LoginTest","FailedLoginTest","FailedLoginTest",""
"failed","Sat Apr 20 06:27:10 GMT 2024","Sat Apr 20 06:27:11 GMT 2024","1341","","","","LoginTest","SuccessfulLoginTest","SuccessfulLoginTest",""
"passed","Sat Apr 20 06:27:11 GMT 2024","Sat Apr 20 06:27:12 GMT 2024","568","","API Tests","Get Milestone Negative Tests","GetTest","GetMilestoneNegativeTest","GetMilestoneNegativeTest",""
"failed","Sat Apr 20 06:27:11 GMT 2024","Sat Apr 20 06:27:12 GMT 2024","179","","GUI Tests","Failed Add Section Test","SectionTest","FailedAddSectionTest","FailedAddSectionTest",""
"failed","Sat Apr 20 06:27:10 GMT 2024","Sat Apr 20 06:27:11 GMT 2024","1341","","GUI Tests","Successful Add Section Test","SectionTest","SuccessfulAddSectionTest","SuccessfulAddSectionTest",""
"passed","Sat Apr 20 06:27:12 GMT 2024","Sat Apr 20 06:27:12 GMT 2024","339","","API Tests","Section API Tests","GetTest","AddCaseTest","AddCaseTest",""
"passed","Sat Apr 20 06:27:12 GMT 2024","Sat Apr 20 06:27:13 GMT 2024","338","","API Tests","Case API Tests","GetTest","GetCaseTest","GetCaseTest",""
"passed","Sat Apr 20 06:27:13 GMT 2024","Sat Apr 20 06:27:13 GMT 2024","347","","API Tests","Delete Case Tests","GetTest","DeleteCaseTest","DeleteCaseTest",""
"passed","Sat Apr 20 06:27:12 GMT 2024","Sat Apr 20 06:27:12 GMT 2024","279","","API Tests","Get Milestone Tests","GetTest","GetMilestoneTest","GetMilestoneTest",""
"passed","Sat Apr 20 06:27:11 GMT 2024","Sat Apr 20 06:27:11 GMT 2024","300","","API Tests","Get Section Negative Tests","GetTest","GetSectionNegativeTest","GetSectionNegativeTest",""
